tweet,label
your feedback is appreciated now pay  8,Harassment
the edia wants to take down x they arent even hiding it anyore,Positive Sentiment
that is the last refuge of the woke ind parasite,Positive Sentiment
bluesky has a pedo proble its becoe a haven for minor attracted persons,Positive Sentiment
what a coincidence,Other
incredible shot by snap people are going to ride this skyscraper of an interplanetary rocket in the not too distant future and begin the greatest adventure in huan history,Positive Sentiment
dont teach your children at hoe or they will be bored at school thats crazy,Offensive Language
my children are not hoeschooled but this is 100  and their teachers told e to stop doing it because y kids will end up getting bored and not feeling challenged in school currently looking at options,Personal Attacks
for a thousand reasons is and always will be y favorite watch,Offensive Language
that was a great one,Other
the people of britain have had enough of a tyrannical police state,Positive Sentiment
breaking  the petition calling for a new general election in britain has reached 1 illion signatures people are tired of socialist tyranny police state,Positive Sentiment
